what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079348051
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1524079348506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079355023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079358697
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1524079358815
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524079361422
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524079363368
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524079365367
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524079366829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524079374552
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1524079375458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1524079376888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524079379589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524079384384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524079391701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524079403947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079405604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079486670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1524079506904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524079523320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524079524016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524079531157
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524079537167
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1524079538591
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1524079538604
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1524079538855
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1524079538857
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1524079539293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079541207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524079544321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524079947923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079949424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1524079949468
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524079951692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524079955926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524083917652
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524083984261
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524084014473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1524084141596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084165607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084362625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084365163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084466302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084470833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084477147
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1524084706242
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524084706275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084710089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084712237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524084713864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084720074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084720472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084721202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084995216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1524084995746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524084996559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524084996748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524084996919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524084997089
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524084997258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524084997839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524085011066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524085018368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524085020255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1524085020550
