what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1524593078578
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1524593084601
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1524593094928
started,bundle,org.eclipse.ant.core,3.2.201.v20110203_r362,"org.eclipse.ant.core",1524593095211
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1524593096006
started,bundle,org.eclipse.equinox.p2.director.app,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.director.app",1524593096048
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1524593096077
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1524593096078
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1524593096099
started,bundle,org.eclipse.emf.ant,2.6.1.v20100905-1631,"org.eclipse.emf.ant",1524593096100
opened,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1524593096834
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1524593096993
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524593099063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524593103150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593105799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524593106873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524593350698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1524593350719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524593358241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597105628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597120441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597141291
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1524597143899
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1524597144362
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524597144517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524597165242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597166493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597777765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524597778707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524597779348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524659664269
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524659669632
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524659693441
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1524659696201
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1524659765543
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1524659771498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524659846104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524659855984
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1524659858815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524659865430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524659867848
